maker,name,kakakucom-id,mount,lens-type,focus-mode,lens-class,support-FF,support-APSC,lens_construction,aperture_blades,focal_length,minimum_focusing_distance,maximum_magnification,maximum_aperture,angle_of_view,stabilization,splash-proof,dust-proof,wide-lens,telephoto-lens,macro-lens,high-magnification-lens,fisheye-lens,aori-lens,mirror-lens,blank_1,large-diameter,pancake,filter-diameter,size,weight,blank_2,model_number,minimum_focusing_distance,maximum_focusing_distance,maximum_aperture,minimum_aperture,maximum_angle_of_view,minimum_angle_of_view,minimum_shooting_distance,minimum_shooting_distance_tele,minimum_shooting_distance_wide,teleconverter_14x,teleconverter_20x,sensor_size,description,grade
Machang Optical,KAMLAN 8mm F3.0 [ソニーE用],K0001151882,α Eマウント系,単焦点,MF,対角魚眼レンズ,　,TRUE,9群11枚,　,8 mm,0.1m,　,F3,180 度,　,　,　,　,　,　,　,TRUE,　,　, ,　,　,　,　,240 g, ,,,,,,,,,,,,,,,
シグマ,28mm F1.4 DG HSM [ソニーE用],K0001146455,α Eマウント系,単焦点,AF/MF,大口径広角レンズ,TRUE,　,12群17枚,9 枚,28 mm,0.28m,01:05.4,F1.4,75.4 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,77 mm,82.8x107.7 mm,　, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー NOKTON 50mm F1.2 Aspherical [ソニーE用],K0001134626,α Eマウント系,単焦点,MF,大口径レンズ,TRUE,　,6群8枚,12 枚,50 mm,0.45m,1:07,F1.2,47.5 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,58 mm,70.1x58.8 mm,434 g, ,,,,,,,,,,,,,,,
SONY,FE 135mm F1.8 GM SEL135F18GM,K0001134056,α Eマウント系,単焦点,AF/MF,大口径望遠単焦点レンズ,TRUE,　,10群13枚,11 枚,135 mm,0.7m,0.25倍,F1.8,18 度,　,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,TRUE,　,82 mm,89.5x127 mm,950 g, ,,,,,,,,,,,,,,,
シグマ,40mm F1.4 DG HSM [ソニーE用],K0001130356,α Eマウント系,単焦点,AF/MF,大口径標準レンズ,TRUE,　,12群16枚,9 枚,40 mm,0.4m,01:06.5,F1.4,56.8 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,82 mm,87.8x157 mm,1270 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 24mm F14 2X MACRO PROBE [ソニーE用],K0001130174,α Eマウント系,単焦点,MF,マクロプローブレンズ,TRUE,　,19群27枚,7 枚,24 mm,0.47m,2倍,F14,85 度,　,TRUE,　,　,　,TRUE,　,　,　,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
Machang Optical,KAMLAN FS 28mm F1.4 [ソニーE用],K0001124940,α Eマウント系,単焦点,MF,　,　,TRUE,7群8枚,　,28 mm,0.25m,　,F1.4,56 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,　,348 g, ,,,,,,,,,,,,,,,
Machang Optical,KAMLAN FS 50mm F1.1 [ソニーE用],K0001124936,α Eマウント系,単焦点,MF,　,　,TRUE,5群5枚,　,50 mm,0.5m,　,F1.1,31 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,　,248 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 10-18mm F4.5-5.6 FE Zoom,K0001115141,α Eマウント系,広角ズーム,MF,超広角ワイドズームレンズ,TRUE,　,10群14枚,5 枚,10〜18 mm,0.15m,0.25倍,F4.5-5.6,102〜130 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,37 mm,70x90.9 mm,496 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー MACRO APO-LANTHAR 110mm F2.5,K0001064923,α Eマウント系,単焦点,MF,等倍マクロレンズ,TRUE,　,12群14枚,10 枚,110 mm,0.35m,1:01,F2.5,22.6 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,58 mm,78.4x99.7 mm,771 g, ,,,,,,,,,,,,,,,
シグマ,56mm F1.4 DC DN [ソニーE用],K0001103130,α Eマウント系,単焦点,AF/MF,大口径中望遠レンズ,　,TRUE,6群10枚,9 枚,56 mm,0.5m,01:07.4,F1.4,28.5 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,55 mm,66.5x59.5 mm,280 g, ,,,,,,,,,,,,,,,
カールツァイス,Batis 2/40 CF,K0001106985,α Eマウント系,単焦点,AF/MF,標準レンズ,TRUE,　,8群9枚,　,40 mm,0.24m,01:03.3,F2,　,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,67 mm,91x93 mm,361 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー COLOR-SKOPAR 21mm F3.5 Aspherical,K0001091965,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,8群9枚,10 枚,21 mm,0.2m,01:06.5,F3.5,91.2 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,52 mm,62.8x39.9 mm,230 g, ,,,,,,,,,,,,,,,
SAMYANG,85mm F1.8 ED UMC CS [ソニーE用],K0001099720,α Eマウント系,単焦点,MF,中望遠レンズ,　,TRUE,7群9枚,9 枚,85 mm,0.65m,0.17倍,F1.8,19.1 度,　,　,　,　,　,　,　,　,　,　, ,　,　,62 mm,67.5x80.7 mm,344 g, ,,,,,,,,,,,,,,,
SONY,FE 24mm F1.4 GM SEL24F14GM,K0001092382,α Eマウント系,単焦点,AF/MF,大口径広角単焦点レンズ,TRUE,　,10群13枚,11 枚,24 mm,0.24m,0.17倍,F1.4,84 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,75.4x92.4 mm,445 g, ,,,,,,,,,,,,,,,
七工匠,7artisans 35mm F1.2 3512EB [ソニーE用],K0001096792,α Eマウント系,単焦点,MF,単焦点レンズ,　,TRUE,5群6枚,9 枚,35 mm,0.35m,　,F1.2,46 度,　,　,　,　,　,　,　,　,　,　, ,　,　,43 mm,　,150 g, ,,,,,,,,,,,,,,,
Lensbaby,SOL 45 [ソニーE用],K0001083654,α Eマウント系,単焦点,MF,　,TRUE,　,2群3枚,　,45 mm,0.34m,0.16倍,F3.5,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,73x64 mm,272 g, ,,,,,,,,,,,,,,,
シグマ,105mm F1.4 DG HSM [ソニーE用],K0001079422,α Eマウント系,単焦点,AF/MF,大口径中望遠レンズ,TRUE,　,12群17枚,9 枚,105 mm,1m,01:08.3,F1.4,23.3 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,105 mm,115.9x157.5 mm,1720 g, ,,,,,,,,,,,,,,,
シグマ,135mm F1.8 DG HSM [ソニーE用],K0001069679,α Eマウント系,単焦点,AF/MF,大口径望遠レンズ,TRUE,　,10群13枚,9 枚,135 mm,0.875m,1:05,F1.8,18.2 度,　,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,TRUE,　,82 mm,91.4x140.9 mm,1230 g, ,,,,,,,,,,,,,,,
シグマ,14mm F1.8 DG HSM [ソニーE用],K0001069678,α Eマウント系,単焦点,AF/MF,超広角レンズ,TRUE,　,11群16枚,9 枚,14 mm,0.27m,01:09.8,F1.8,114.2 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,　,95.4x152 mm,1230 g, ,,,,,,,,,,,,,,,
SAMYANG,AF24mm F2.8 FE,K0001071986,α Eマウント系,単焦点,AF/MF,広角レンズ,TRUE,　,7群7枚,7 枚,24 mm,0.24m,0.13倍,F2.8,82.1 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,49 mm,61.8x37 mm,93 g, ,,,,,,,,,,,,,,,
シグマ,70mm F2.8 DG MACRO [ソニーE用],K0001065920,α Eマウント系,単焦点,AF/MF,マクロレンズ,TRUE,　,10群13枚,9 枚,70 mm,0.258m,1:01,F2.8,34.3 度,　,TRUE,TRUE,　,　,TRUE,　,　,　,　, ,　,　,49 mm,70.8x131.8 mm,570 g, ,,,,,,,,,,,,,,,
七工匠,7artisans 25mm F1.8 25EB ブラック [ソニーE用],K0001074234,α Eマウント系,単焦点,MF,単焦点レンズ,　,TRUE,5群7枚,12 枚,25 mm,0.18m,　,F1.8,　,　,　,　,　,　,　,　,　,　,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
七工匠,7artisans 25mm F1.8 25ES シルバー [ソニーE用],K0001074235,α Eマウント系,単焦点,MF,単焦点レンズ,　,TRUE,5群7枚,12 枚,25 mm,0.18m,　,F1.8,　,　,　,　,　,　,　,　,　,　,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
シグマ,20mm F1.4 DG HSM [ソニーE用],K0001063989,α Eマウント系,単焦点,AF/MF,大口径超広角レンズ,TRUE,　,11群15枚,9 枚,20 mm,0.276m,01:07.1,F1.4,94.5 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,　,　,　, ,,,,,,,,,,,,,,,
シグマ,24mm F1.4 DG HSM [ソニーE用],K0001056715,α Eマウント系,単焦点,AF/MF,大口径広角レンズ,TRUE,　,11群15枚,9 枚,24 mm,0.25m,01:05.3,F1.4,84.1 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,77 mm,85x116.2 mm,760 g, ,,,,,,,,,,,,,,,
シグマ,35mm F1.4 DG HSM [ソニーE用],K0001056716,α Eマウント系,単焦点,AF/MF,大口径広角レンズ,TRUE,　,11群13枚,9 枚,35 mm,0.3m,01:05.2,F1.4,63.4 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,77x120 mm,755 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 25mm F2.8 2.5-5X ULTRA MACRO [ソニーE用],K0001036358,α Eマウント系,単焦点,MF,マクロレンズ,TRUE,　,6群8枚,8 枚,25 mm,0.173m,5倍,F2.8,10.3 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
シグマ,50mm F1.4 DG HSM [ソニーE用],K0001052384,α Eマウント系,単焦点,AF/MF,大口径標準レンズ,TRUE,　,8群13枚,9 枚,50 mm,0.4m,01:05.6,F1.4,46.8 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,77 mm,85.4x125.9 mm,910 g, ,,,,,,,,,,,,,,,
シグマ,85mm F1.4 DG HSM [ソニーE用],K0001052385,α Eマウント系,単焦点,AF/MF,大口径レンズ,TRUE,　,12群14枚,9 枚,85 mm,0.85m,01:08.5,F1.4,28.6 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,86 mm,94.7x152.2 mm,1245 g, ,,,,,,,,,,,,,,,
TAMRON,28-75mm F/2.8 Di III RXD (Model A036),K0001050568,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,TRUE,　,12群15枚,9 枚,28〜75 mm,0.19m,01:02.9,F2.8,75.23〜32.11 度,　,TRUE,　,　,　,　,　,　,　,　, ,TRUE,　,67 mm,73x117.8 mm,550 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 9mm F2.8 Zero-D [ソニーE用],K0001036354,α Eマウント系,単焦点,MF,広角レンズ,　,TRUE,10群15枚,7 枚,9 mm,0.12m,0.13倍,F2.8,113 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,49 mm,　,　, ,,,,,,,,,,,,,,,
TOKINA,FiRIN 20mm F2 FE AF,K0001035694,α Eマウント系,単焦点,AF/MF,大口径広角単焦点レンズ,TRUE,　,11群13枚,9 枚,20 mm,0.28m,01:10.3,F2,92.66 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,62 mm,73.4x81.5 mm,464 g, ,,,,,,,,,,,,,,,
Lensbaby,Burnside 35 [ソニーE用],K0001035690,α Eマウント系,単焦点,MF,　,TRUE,　,4群6枚,6 枚,35 mm,0.152m,　,F2.8,　,　,　,　,　,　,　,　,　,　,　, ,　,　,62 mm,　,　, ,,,,,,,,,,,,,,,
カールツァイス,Loxia 2.4/25,K0001035110,α Eマウント系,単焦点,MF,広角レンズ,TRUE,　,8群10枚,　,25 mm,0.25m,01:06.4,F2.4,81.25 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,52 mm,62x74.5 mm,393 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー NOKTON classic 35mm F1.4,K0001021077,α Eマウント系,単焦点,MF,大口径広角レンズ,TRUE,　,6群8枚,10 枚,35 mm,0.3m,01:06.3,F1.4,63 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,58 mm,67x39.6 mm,262 g, ,,,,,,,,,,,,,,,
SONY,E 18-135mm F3.5-5.6 OSS SEL18135,K0001025214,α Eマウント系,標準ズーム,AF/MF,高倍率ズームレンズ,　,TRUE,12群16枚,7 枚,18〜135 mm,0.45m,0.29倍,F3.5-5.6,76〜12 度,TRUE,　,　,　,　,　,TRUE,　,　,　, ,　,　,55 mm,67.2x88 mm,325 g, ,,,,,,,,,,,,,,,
SAMYANG,AF35mm F1.4 FE,K0001024316,α Eマウント系,単焦点,AF/MF,大口径レンズ,TRUE,　,9群11枚,9 枚,35 mm,0.3m,0.17倍,F1.4,65.5 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,67 mm,75.9x115 mm,645 g, ,,,,,,,,,,,,,,,
SONY,FE 24-105mm F4 G OSS SEL24105G,K0001008674,α Eマウント系,標準ズーム,AF/MF,標準ズームレンズ,TRUE,　,14群17枚,9 枚,24〜105 mm,0.38m,0.31倍,F4,84〜23 度,TRUE,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,77 mm,83.4x113.3 mm,663 g, ,,,,,,,,,,,,,,,
シグマ,16mm F1.4 DC DN [ソニー用],K0001011989,α Eマウント系,単焦点,AF/MF,高性能大口径広角レンズ,　,TRUE,13群16枚,9 枚,16 mm,0.25m,01:09.9,F1.4,83.2 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,72.2x92.3 mm,405 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー NOKTON 40mm F1.2 Aspherical,K0001000112,α Eマウント系,単焦点,MF,大口径レンズ,TRUE,　,6群8枚,10 枚,40 mm,0.35m,01:06.2,F1.2,55 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,58 mm,70.1x59.3 mm,420 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 15mm F2 Zero-D,K0000991654,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,9群12枚,7 枚,15 mm,0.15m,1/4倍,F2,110 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,72 mm,　,500 g, ,,,,,,,,,,,,,,,
Lensbaby,Velvet 85 [ソニーE用],K0000980311,α Eマウント系,単焦点,MF,中望遠レンズ,TRUE,　,3群4枚,12 枚,85 mm,0.23m,1:02,F1.8,28.6 度,　,　,　,　,　,　,　,　,　,　, ,　,　,67 mm,　,　, ,,,,,,,,,,,,,,,
中一光学,CREATOR 85mm F2 ブラック [ソニーE用],K0000995542,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,6群6枚,10 枚,85 mm,0.85m,0.12倍,F2,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,68x95 mm,500 g, ,,,,,,,,,,,,,,,
中一光学,CREATOR 85mm F2 シルバー [ソニーE用],K0000995543,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,6群6枚,10 枚,85 mm,0.85m,0.12倍,F2,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,68x95 mm,500 g, ,,,,,,,,,,,,,,,
中一光学,CREATOR 35mm F2 ブラック [ソニーE用],K0000995540,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,5群7枚,9 枚,35 mm,0.25m,0.23倍,F2,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,68x95 mm,470 g, ,,,,,,,,,,,,,,,
中一光学,CREATOR 35mm F2 シルバー [ソニーE用],K0000995541,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,5群7枚,9 枚,35 mm,0.25m,0.23倍,F2,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,68x95 mm,470 g, ,,,,,,,,,,,,,,,
コシナ,フォクトレンダー MACRO APO-LANTHAR 65mm F2 Aspherical,K0000983403,α Eマウント系,単焦点,MF,大口径マクロレンズ,TRUE,　,8群10枚,10 枚,65 mm,0.31m,1:02,F2,38 度,　,　,　,　,　,TRUE,　,　,　,　, ,TRUE,　,67 mm,78x91.3 mm,625 g, ,,,,,,,,,,,,,,,
SAMYANG,AF35mm F2.8 FE,K0000978393,α Eマウント系,単焦点,AF/MF,AFレンズ,TRUE,　,6群7枚,7 枚,35 mm,0.35m,0.12倍,F2.8,63.1 度,　,　,　,　,　,　,　,　,　,　, ,　,　,49 mm,61.8x33 mm,85.6 g, ,,,,,,,,,,,,,,,
SONY,FE 16-35mm F2.8 GM SEL1635GM,K0000966593,α Eマウント系,広角ズーム,AF/MF,大口径広角ズームレンズ,TRUE,　,13群16枚,11 枚,16〜35 mm,0.28m,0.19倍,F2.8,107〜63 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,82 mm,88.5x121.6 mm,680 g, ,,,,,,,,,,,,,,,
SONY,FE 100-400mm F4.5-5.6 GM OSS SEL100400GM,K0000960776,α Eマウント系,望遠ズーム,AF/MF,超望遠ズームレンズ,TRUE,　,16群22枚,9 枚,100〜400 mm,0.98m,0.35倍,F4.5-5.6,24〜6.1 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,　,　,77 mm,93.9x205 mm,1395 g, ,,,,,,,,,,,,,,,
SONY,FE 12-24mm F4 G SEL1224G,K0000966594,α Eマウント系,広角ズーム,AF/MF,超広角ズームレンズ,TRUE,　,13群17枚,7 枚,12〜24 mm,0.28m,0.14倍,F4,122〜84 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,　,87x117.4 mm,565 g, ,,,,,,,,,,,,,,,
カールツァイス,Batis 2.8/135,K0000957278,α Eマウント系,単焦点,AF/MF,中望遠レンズ,TRUE,　,11群14枚,　,135 mm,0.87m,01:05.3,F2.8,　,TRUE,　,　,　,　,　,　,　,　,　, ,TRUE,　,67 mm,98x120 mm,614 g, ,,,,,,,,,,,,,,,
SONY,FE 85mm F1.8 SEL85F18,K0000942231,α Eマウント系,単焦点,AF/MF,大口径中望遠単焦点レンズ,TRUE,　,8群9枚,9 枚,85 mm,0.8m,0.13倍,F1.8,29 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,67 mm,78x82 mm,371 g, ,,,,,,,,,,,,,,,
SONY,FE 100mm F2.8 STF GM OSS SEL100F28GM,K0000942230,α Eマウント系,単焦点,AF/MF,中望遠単焦点レンズ,TRUE,　,10群13枚,11 枚,100 mm,0.57m,0.25倍,F2.8,24 度,TRUE,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,72 mm,85.2x118.1 mm,700 g, ,,,,,,,,,,,,,,,
SONY,E PZ 18-110mm F4 G OSS SELP18110G,K0000942232,α Eマウント系,標準ズーム,AF/MF,電動標準ズームレンズ,　,TRUE,15群18枚,7 枚,18〜110 mm,0.4m,0.122倍,F4,76〜14.3 度,TRUE,　,　,　,　,　,　,　,　,　, ,　,　,95 mm,110x167.5 mm,1105 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 12mm F2.8 Zero-D [ソニーE用],K0000942681,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,10群16枚,7 枚,12 mm,0.18m,0.2倍,F2.8,　,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
TOKINA,FiRIN 20mm F2 FE MF,K0000928245,α Eマウント系,単焦点,MF,大口径広角単焦点レンズ,TRUE,　,11群13枚,9 枚,20 mm,0.28m,01:10.3,F2,92.66 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,62 mm,69x81.5 mm,490 g, ,,,,,,,,,,,,,,,
SAMYANG,35mm F1.2 ED AS UMC CS [ソニー用],K0000934921,α Eマウント系,単焦点,MF,標準画角レンズ,　,　,7群9枚,9 枚,35 mm,0.38m,　,F1.2,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,62 mm,67.5x74.2 mm,420 g, ,,,,,,,,,,,,,,,
SAMYANG,20mm F1.8 ED AS UMC [ソニーE用],K0000934917,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,12群13枚,7 枚,20 mm,0.2m,　,F1.8,94.8 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,77 mm,83x114.4 mm,525 g, ,,,,,,,,,,,,,,,
SAMYANG,AF14mm F2.8 FE,K0000934909,α Eマウント系,単焦点,AF/MF,超広角オートフォーカスレンズ,TRUE,　,10群14枚,7 枚,14 mm,0.2m,0.12倍,F2.8,113.9 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,　,85.5x97.5 mm,505 g, ,,,,,,,,,,,,,,,
Lensbaby,Trio 28 [ソニーE用],K0000926638,α Eマウント系,単焦点,MF,マニュアルレンズ,TRUE,　,　,　,28 mm,0.2m,　,F3.5,　,　,　,　,　,　,　,　,　,　,　, ,　,　,46 mm,69.9x50.8 mm,138.9 g, ,,,,,,,,,,,,,,,
カールツァイス,Loxia 2.4/85,K0000925475,α Eマウント系,単焦点,MF,望遠レンズ,TRUE,　,7群7枚,　,85 mm,0.8m,01:07.2,F2.4,　,　,　,　,　,TRUE,　,　,　,　,　, ,　,　,52 mm,62.5x94.8 mm,594 g, ,,,,,,,,,,,,,,,
Lensbaby,コンポーザープロII スウィート50 [ソニーE用],K0000921726,α Eマウント系,単焦点,MF,ティルトレンズ,TRUE,　,1群2枚,12 枚,50 mm,0.38m,　,F2.5,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,63.5x50.8 mm,184 g, ,,,,,,,,,,,,,,,
Lensbaby,コンポーザープロII スウィート35 [ソニーE用],K0000921733,α Eマウント系,単焦点,MF,ティルトレンズ,TRUE,　,3群4枚,12 枚,35 mm,0.19m,　,F2.5,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,63.5x50.8 mm,215 g, ,,,,,,,,,,,,,,,
SONY,FE 70-200mm F2.8 GM OSS SEL70200GM,K0000857122,α Eマウント系,望遠ズーム,AF/MF,大口径F2.8望遠ズームレンズ,TRUE,　,18群23枚,11 枚,70〜200 mm,0.96m,0.25倍,F2.8,34〜12.3 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,TRUE,　,77 mm,88x200 mm,1480 g, ,,,,,,,,,,,,,,,
SONY,FE 50mm F2.8 Macro SEL50M28,K0000910549,α Eマウント系,単焦点,AF/MF,高性能標準マクロレンズ,TRUE,　,7群8枚,7 枚,50 mm,0.16m,1倍,F2.8,47 度,　,TRUE,TRUE,　,　,TRUE,　,　,　,　, ,　,　,55 mm,70.8x71 mm,236 g, ,,,,,,,,,,,,,,,
中一光学,SPEEDMASTER 35mm F0.95 II シルバー [ソニーE用],K0001028592,α Eマウント系,単焦点,MF,超大口径レンズ,　,TRUE,8群11枚,9 枚,35 mm,0.35m,0.13倍,F0.95,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,55 mm,62x59.5 mm,440 g, ,,,,,,,,,,,,,,,
SAMYANG,12mm T2.2 Cine NCS CS [ソニーE用],K0001027048,α Eマウント系,単焦点,MF,超広角シネマレンズ,　,TRUE,10群12枚,6 枚,12 mm,0.2m,　,　,98.9 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,67 mm,73.6x59.1 mm,250 g, ,,,,,,,,,,,,,,,
SAMYANG,50mm F1.4 AS UMC [ソニーE用],K0000959326,α Eマウント系,単焦点,MF,標準画角レンズ,TRUE,　,6群9枚,8 枚,50 mm,0.45m,　,F1.4,46.2 度,　,　,　,　,　,　,　,　,　,　, ,　,　,77 mm,81.6x100.7 mm,565 g, ,,,,,,,,,,,,,,,
SAMYANG,14mm T3.1 VDSLR ED AS IF UMC II [ソニーE用],K0001027173,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,10群14枚,6 枚,14 mm,0.28m,　,　,115.7 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,　,87x122.1 mm,640 g, ,,,,,,,,,,,,,,,
SAMYANG,85mm T1.5 VDSLR AS IF UMC II [ソニーE用],K0001027194,α Eマウント系,単焦点,MF,準望遠マニュアルフォーカスシネレンズ,TRUE,　,7群9枚,8 枚,85 mm,1.1m,　,　,28.3 度,　,　,TRUE,　,　,　,　,　,　,　, ,　,　,72 mm,78x100.7 mm,605 g, ,,,,,,,,,,,,,,,
SAMYANG,12mm T3.1 VDSLR ED AS NCS Fish-eye [ソニーE用],K0001027202,α Eマウント系,単焦点,MF,フィッシュアイマニュアルフォーカスシネレンズ,TRUE,　,8群12枚,7 枚,12 mm,0.2m,　,　,180 度,　,　,　,　,　,　,　,TRUE,　,　, ,　,　,　,81.6x98.7 mm,535 g, ,,,,,,,,,,,,,,,
SAMYANG,10mm T3.1 VDSLR ED AS NCS CS II [ソニーE用],K0001027054,α Eマウント系,単焦点,MF,超広角シネマレンズ,　,TRUE,9群14枚,6 枚,10 mm,0.24m,　,　,109.5 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,　,87x132.1 mm,630 g, ,,,,,,,,,,,,,,,
SAMYANG,135mm T2.2 VDSLR ED UMC [ソニーE用],K0001027210,α Eマウント系,単焦点,MF,高性能望遠マニュアルフォーカスシネレンズ,TRUE,　,7群11枚,9 枚,135 mm,0.8m,　,　,18.8 度,　,　,　,　,TRUE,　,　,　,　,　, ,　,　,77 mm,82x148.1 mm,845 g, ,,,,,,,,,,,,,,,
SAMYANG,100mm T3.1 VDSLR ED UMC MACRO [ソニーE用],K0001027218,α Eマウント系,単焦点,MF,テレーマニュアルフォーカスシネレンズ,TRUE,　,12群15枚,9 枚,100 mm,0.307m,1:01,　,24.8 度,　,　,　,　,TRUE,TRUE,　,　,　,　, ,　,　,67 mm,81.6x149.1 mm,735 g, ,,,,,,,,,,,,,,,
SAMYANG,35mm T1.5 VDSLR AS UMC II [ソニーE用],K0001027187,α Eマウント系,単焦点,MF,広角マニュアルフォーカスシネレンズ,TRUE,　,10群12枚,8 枚,35 mm,0.3m,　,　,63.1 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,77 mm,83x137.5 mm,720 g, ,,,,,,,,,,,,,,,
SAMYANG,24mm T1.5 VDSLR ED AS IF UMC II [ソニーE用],K0001027180,α Eマウント系,単焦点,MF,広角マニュアルフォーカスシネレンズ,TRUE,　,12群13枚,8 枚,24 mm,0.25m,　,　,84.1 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,77 mm,83x123.5 mm,640 g, ,,,,,,,,,,,,,,,
SAMYANG,T-S 24mm F3.5 ED AS UMC [ソニーE用],K0000959334,α Eマウント系,単焦点,MF,チルトシフトレンズ,TRUE,　,11群16枚,　,24 mm,0.2m,　,F3.5,83.5 度,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,82 mm,86x139 mm,734 g, ,,,,,,,,,,,,,,,
SONY,Planar T* FE 50mm F1.4 ZA SEL50F14Z,K0000895916,α Eマウント系,単焦点,AF/MF,大口径標準単焦点レンズ,TRUE,　,9群12枚,11 枚,50 mm,0.45m,0.15倍,F1.4,47 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,72 mm,83.5x108 mm,778 g, ,,,,,,,,,,,,,,,
